phrase_id,phrase,true_parent,true_subtech
230,"The payload was delivered as a multi-layered obfuscated PowerShell script that peeled each encoding layer using Invoke-Expression to reveal and execute the next stage",T1027,T1027.013
231,"The final-stage implant was AES-256 encrypted with a key derived from a unique hardware identifier on the victim host, preventing offline analysis of the sample",T1027,T1027.013
232,"The actor concealed the implant configuration data within the EXIF metadata of a JPEG file uploaded to a legitimate image hosting service",T1027,T1027.013
233,"The dropper embedded its second-stage payload as a base64-encoded string appended to a JPEG comment field, masquerading as a legitimate image file",T1027,T1027.013
234,"XOR-encoded configuration strings were embedded within the implant's binary and decoded at runtime using a single-byte key derived from the process start time",T1027,T1027.013
235,"The Cobalt Strike beacon was configured with a malleable C2 profile that mimicked legitimate jQuery download traffic over HTTPS, blending into normal web traffic",T1071,T1071.001
236,"Command-and-control communications were conducted exclusively over HTTPS using a TLS certificate issued for a domain typosquatting a legitimate cloud provider",T1071,T1071.001
237,"The implant transmitted collected data to its C2 via HTTP POST requests with payloads structured to resemble standard web analytics beacon traffic",T1071,T1071.001
238,"Beacon traffic was routed through a compromised legitimate e-commerce site acting as a domain-fronted reverse proxy to the actual C2 infrastructure",T1071,T1071.001
239,"The Brute Ratel C4 framework was deployed with an HTTP profile mimicking Microsoft Graph API responses to blend C2 traffic with legitimate Microsoft 365 activity",T1071,T1071.001
240,"The implant exfiltrated collected data to an actor-controlled FTP server by establishing outbound connections over port 21, which was permitted by the firewall policy",T1071,T1071.002
241,"SFTP was used to exfiltrate staged archives to an actor-controlled server, blending with legitimate administrative file transfer activity observed in network baselines",T1071,T1071.002
242,"The implant received tasking by polling a compromised email inbox via IMAP, reading commands embedded in the body of specially crafted message subjects",T1071,T1071.003
243,"Collected data was exfiltrated via SMTP by encoding it into multi-part email attachments sent to an actor-controlled inbox, using a legitimate mail relay as a relay hop",T1071,T1071.003
244,"The Sliver implant was configured to use DNS over HTTPS for command-and-control, tunnelling all tasking through encrypted DNS queries to a controlled resolver",T1071,T1071.004
245,"C2 communication was conducted by encoding commands into DNS TXT record query names directed at an actor-controlled authoritative name server",T1071,T1071.004
246,"Dnscat2 was deployed to tunnel a full interactive shell session over DNS, with all traffic appearing as standard recursive DNS queries to perimeter monitoring tools",T1071,T1071.004
247,"The implant used a DNS-based dead drop resolver, querying a TXT record on a legitimate public DNS provider to retrieve the current C2 IP address",T1071,T1071.004
248,"Rubeus was used to request Kerberos TGS tickets for all identified SPNs, with the encrypted tickets written to disk for subsequent offline cracking",T1003,T1003.004
249,"The actor authenticated to an additional internal subnet via RDP using credentials recovered from a browser credential store on the first compromised endpoint",T1021,T1021.001
250,"A PowerShell script leveraging the Microsoft Graph SDK was used to enumerate and export mailbox content from compromised Exchange Online accounts",T1059,T1059.001
